cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
25,60,436F,J01547570,TUD100R936A1,Trane,Furnace,09/16/1994,11/11/2014,12,11/11/2015,,1136928,1,10 Year,Parts & Labor,09/16/2004,,0,05/24/2017,05/24/2017
25,61,,J30743049,TXCO31C4HPB1,Trane,Coil,09/16/1994,08/01/2003,12,08/01/2004,,1136928,1,10 Year,Parts & Labor,09/16/2004,,0,05/24/2017,05/24/2017
26,62,,M1824G9FF,TTX030C100A,Trane,Air Conditioner,06/28/1997,06/17/2010,12,06/17/2011,,1433947,1,10 Year,Parts & Labor,06/26/2007,,0,05/24/2017,05/24/2017
26,63,,M242K477G,TUY080R9V3A,Trane,Gas Furnace,06/28/1997,01/05/2011,12,01/05/2012,,1433947,1,10 Year,Parts & Labor,06/28/2007,,0,05/24/2017,05/24/2017
26,64,,M18736317,TXC031C4HPB,Trane,Coil,06/28/1997,06/28/1997,12,06/28/1998,,1433947,1,10 Year,Parts & Labor,06/28/2007,,0,05/24/2017,05/24/2017
27,65,,K33555YFF,TTX024C100A1,Trane,Air Conditioner,09/29/1995,06/06/2016,12,06/06/2017,,1244129,1,10 Year,Parts & Labor,09/26/2005,,0,05/24/2017,05/24/2017
27,66,,K3O4JG47G,TUY080R9V3A0,Trane,Gas Furnace,09/29/1995,11/03/2015,12,11/03/2016,Serviced Gas Furnace 10-9-02,1244129,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
27,67,,J45736971,TXCO31C4HPB1,Trane,Coil,09/29/1995,09/29/1995,12,09/29/1996,,1244129,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
27,68,,K33790638,BEF140C100A0,Trane,Air Cleaner,09/29/1995,05/08/2015,12,05/08/2016,,1233879,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
28,69,,C27556503,LU100K948B3,Trane,Furnace,04/20/1993,09/01/2003,12,09/01/2004,,1037146,1,10 Year,Parts & Labor,04/18/2003,,0,05/24/2017,05/24/2017
30,71,,H2282577,TTY030A100A0,Trane,Air Conditioner,06/16/1994,08/01/2003,12,08/01/2004,,1121538,1,10 Year,Parts & Labor,06/13/2004,,0,05/24/2017,05/24/2017
31,72,,UB3021989330,TCU085A936A,Trane,Oil Furnace,07/28/1993,09/01/2003,12,09/01/2004,,,1,10 Year,Parts & Labor,07/26/2003,,0,05/24/2017,05/24/2017
31,73,,H26783927,EF140C100A,Trane,Air Cleaner,07/28/1993,09/01/2003,12,09/01/2004,Replaced Transformer and board 8-18-95,1051507,1,5 Year,Parts & Labor,07/28/1998,,0,05/24/2017,05/24/2017
31,74,,H24214071,TTX030C100A,Trane,Air Conditioner,07/28/1993,09/01/2003,12,09/01/2004,,1056544,1,10 Year,Parts & Labor,07/28/2003,,0,05/24/2017,05/24/2017
32,75,504A,H24214070,TTXO3OCLOOAO,Trane,Air Conditioner,07/14/1993,05/06/2015,12,05/06/2016,,1057832,1,10 Year,Parts & Labor,07/12/2003,,0,05/24/2017,05/24/2017
