cust_id,csa,equip_id,start_date,end_date,term,equip_desc,total_perks,created_at,updated_at
1411,146F,8355,09/18/2015,09/18/2016,1,FURNACE,,05/22/2017,05/22/217
1462,307,,11/10/2014,11/10/2016,2,FURNACE & A/C,,05/22/2017,05/22/217
1477,584A,5008,02/09/2017,02/09/2018,1,A/C,,05/22/2017,05/22/217
1477,584F,5009,02/09/2017,02/09/2018,1,FURNACE,,05/22/2017,05/22/217
1479,594-1A,,,,,,,05/22/2017,05/22/217
1479,594-1F,,,,,,,05/22/2017,05/22/217
1543,590F,5875,10/10/2016,10/10/2017,1,FURNACE,,05/22/2017,05/22/217
1545,628F,7626,05/31/2016,05/31/2017,1,FURNACE ONLY,,05/22/2017,05/22/217
1570,269A,7160,03/06/2015,03/06/2016,1,A/C,,05/22/2017,05/22/217
1570,269F,4244,03/06/2015,03/06/2016,1,FURNACE,,05/22/2017,05/22/217
1595,370A,10880,01/25/2017,01/25/2018,1,A/C,,05/22/2017,05/22/217
1595,370F,10879,01/25/2017,01/25/2018,1,FURNACE,,05/22/2017,05/22/217
1596,161A,13452,12/02/2015,12/02/2016,1,A/C,,05/22/2017,05/22/217
1596,161F,3343,12/02/2015,12/02/2016,1,FURNACE,,05/22/2017,05/22/217
1639,550A,13332,,,,,,05/22/2017,05/22/217
1639,550F,13331,,,,,,05/22/2017,05/22/217
1654,582A,9280,12/16/2016,12/16/2017,1,A/C,,05/22/2017,05/22/217
1654,582F,9282,12/16/2016,12/16/2017,1,FURNACE,,05/22/2017,05/22/217
1665,143A,4162,09/18/2015,09/18/2016,1,A/C,,05/22/2017,05/22/217
1665,143F,4161,09/18/2015,09/18/2016,1,FURNACE,,05/22/2017,05/22/217
1691,109A,3481,11/06/2015,11/06/2016,1,A/C,,05/22/2017,05/22/217
1691,109F,12369,11/06/2015,11/06/2016,1,FURNACE,,05/22/2017,05/22/217
1742,308A,10427,02/17/2016,02/17/2017,1,A/C,,05/22/2017,05/22/217
1742,308F,10170,02/17/2016,02/17/2017,1,FURNACE,,05/22/2017,05/22/217
1746,558A,13238,12/08/2015,12/08/2016,1,A/C,,05/22/2017,05/22/217
1746,558F,13237,12/08/2015,12/08/2016,1,FURNACE,,05/22/2017,05/22/217
1755,410O,14888,,,,,,05/22/2017,05/22/217
1755,566O,11429,,,,,,05/22/2017,05/22/217
1755,567O,13052,,,,,,05/22/2017,05/22/217
1818,454,,,,,,,05/22/2017,05/22/217
1826,619,,,,,2 FURNACE & 2 A/C'S,,05/22/2017,05/22/217
1827,279A,3678,02/18/2015,02/18/2016,1,A/C,,05/22/2017,05/22/217
1827,279F,3677,02/18/2015,02/18/2016,1,FURNACE,,05/22/2017,05/22/217
1831,195A,3682,12/10/2015,12/10/2016,1,A/C,,05/22/2017,05/22/217
1831,195F,3681,12/10/2015,12/10/2016,1,FURNACE,,05/22/2017,05/22/217
1838,643A,9280,12/13/2016,12/13/2017,1,A/C,,05/22/2017,05/22/217
1838,643F,9282,12/13/2016,12/13/2017,1,FURNACE,,05/22/2017,05/22/217
1853,134W,6754,09/10/2014,09/10/2016,2,HOT WATER BOILER,,05/22/2017,05/22/217
1894,606A,9762,02/18/2016,02/18/2017,1,AC,,05/22/2017,05/22/217
1894,606F,3836,02/18/2016,02/18/2017,1,FURNACE,,05/22/2017,05/22/217
1895,617A,15801,03/01/2016,03/01/2017,1,A/C,,05/22/2017,05/22/217
1895,617F,13799,03/01/2016,03/01/2017,1,FURNACE,,05/22/2017,05/22/217
1904,172A,5446,10/15/2015,10/15/2016,1,A/C,,05/22/2017,05/22/217
1904,172F,3858,10/15/2015,10/15/2016,1,FURNACE,,05/22/2017,05/22/217
1926,606-1A,,,,,,,05/22/2017,05/22/217
1926,606-1F,,,,,,,05/22/2017,05/22/217
1929,248A,7058,11/30/2015,11/30/2016,1,A/C,,05/22/2017,05/22/217
1929,248F,6921,11/30/2015,11/30/2016,1,FURNACE,,05/22/2017,05/22/217
1944,465F,3900,11/22/2016,11/22/2017,1,FURNACE,,05/22/2017,05/22/217
1989,102A,6348,02/23/2016,02/23/2017,1,A/C,,05/22/2017,05/22/217
1989,102F,6347,02/23/2016,02/23/2017,1,FURNACE,,05/22/2017,05/22/217
1996,408O,3977,09/26/2016,09/26/2017,1,OIL FURNACE,,05/22/2017,05/22/217
2010,562,,10/04/2016,10/04/2017,1,,,05/22/2017,05/22/217
2069,421A,4209,,,,A/C,,05/22/2017,05/22/217
2069,421F,4208,,,,FURNACE,,05/22/2017,05/22/217
2132,494A,4413,01/07/2016,01/07/2017,1,A/C,,05/22/2017,05/22/217
2132,494F,6527,01/07/2016,01/07/2017,1,FURNACE,,05/22/2017,05/22/217
2137,609A,4420,10/18/2016,10/18/2017,1,A/C,,05/22/2017,05/22/217
2137,609F,4419,10/18/2016,10/18/2017,1,FURNACE,,05/22/2017,05/22/217
2220,512,,07/28/2016,07/28/2017,1,FURNACE & A/C,,05/22/2017,05/22/217
2235,585F,4739,,,,FURNACE,,05/22/2017,05/22/217
2296,202F,4921,10/15/2014,10/15/2016,2,OIL FURNACE,,05/22/2017,05/22/217
2318,441,,,,,,,05/22/2017,05/22/217
2319,555F,5001,09/22/2016,09/22/2017,1,FURNACE,,05/22/2017,05/22/217
2329,276A,13589,11/09/2015,11/09/2016,1,A/C,,05/22/2017,05/22/217
2329,276F,5041,11/09/2015,11/09/2016,1,FURNACE,,05/22/2017,05/22/217
2366,496F,7937,11/18/2016,11/18/2017,1,FURNACE,,05/22/2017,05/22/217
2366,498F,5095,11/18/2016,11/18/2017,1,FURNACE,,05/22/2017,05/22/217
2428,491,,,,,,,05/22/2017,05/22/217
2438,603,,02/11/2016,02/11/2017,1,2 FURNACES,,05/22/2017,05/22/217
2445,613,,11/10/2016,10/10/2017,1,,,05/22/2017,05/22/217
2446,352A,8256,03/22/2016,03/22/2017,1,A/C,,05/22/2017,05/22/217
2446,352F,5215,03/22/2016,03/22/2017,1,FURNACE,,05/22/2017,05/22/217
2462,199A,7457,11/16/2015,11/16/2016,1,A/C,,05/22/2017,05/22/217
2462,199O,7455,11/16/2015,11/16/2016,1,OIL FURNACE,,05/22/2017,05/22/217
