equip_id,cust_id,warranty_notes,created_at,updated_at
10013,4006,"Limited lifetime heat exchanger, 1 year parts, 1 year labor.",05/27/17,05/27/17
10022,385,"10 year parts warranty, lifetime heat exchanger warranty.",05/27/17,05/27/17
10024,4431,"10 year parts warranty, 10 year compressor warranty.",05/27/17,05/27/17
10026,4438,"10 year parts warranty, lifetime heat exchanger warranty.",05/27/17,05/27/17
10035,3826,"10 year parts warranty, lifetime heat exchanger warranty.",05/27/17,05/27/17
10047,3150,Has 10 year parts 5 year labor. Lifetime Heat Exchanger,05/27/17,05/27/17
10048,3315,10 year parts,05/27/17,05/27/17
10049,3315,10 year parts,05/27/17,05/27/17
10126,4485,"10 year parts, 5 year labor, lifetime compressor warranty.",05/27/17,05/27/17
10127,4485,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10128,4485,"10 year parts, 5 year labor warranty",05/27/17,05/27/17
10131,4486,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10133,4487,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10135,3902,"10 years parts, 5 years labor, lifetime heat exchanger warranty.  PA0867249713  Expired 1/4/14",05/27/17,05/27/17
10170,1742,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10212,3337,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10214,3657,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10216,3467,This furnace has 10 year parts.,05/27/17,05/27/17
10217,4531,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10218,4532,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10219,4533,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
10270,4557,Also has the 10 year standard parts warranty. Lifetime Heat exchanger,05/27/17,05/27/17
10273,4558,Also has the 10 year standard parts warranty.,05/27/17,05/27/17
10277,4559,Also has the 10 year standard parts warranty. Lifetime heat exchanger,05/27/17,05/27/17
10293,4568,"5 year parts, Limited lifetime on the heat exchanger.",05/27/17,05/27/17
10300,1726,6 year parts and tank warranty,05/27/17,05/27/17
10308,1659,10 year parts warranty,05/27/17,05/27/17
10309,4246,"10 year parts warranty, Lifetime Heat Exchanger",05/27/17,05/27/17
10311,3863,10 year parts/ 10 yr compressor,05/27/17,05/27/17
10321,420,has 10 year parts lifetime heat exchanger,05/27/17,05/27/17
10364,2305,10yr parts lifetime heat exchanger,05/27/17,05/27/17
10404,4615,Lifetime heat exchanger,05/27/17,05/27/17
10406,4615,Lifetime Compresor,05/27/17,05/27/17
10427,1742,10 year parts,05/27/17,05/27/17
10435,3689,6 year tank and parts,05/27/17,05/27/17
10438,4626,10 year compressor warranty,05/27/17,05/27/17
10445,4629,"5 year parts, limited lifetime on the heat exchanger, 1 year labor",05/27/17,05/27/17
10471,332,Lifetime Compressor,05/27/17,05/27/17
10522,1403,Lifetime Heat Exchanger,05/27/17,05/27/17
10532,4658,10 yr parts and labor,05/27/17,05/27/17
10567,4411,Lifetime compressor warranty.,05/27/17,05/27/17
10575,475,"10 yr parts, and lifetime compressor",05/27/17,05/27/17
10639,4698,Has a lifetime compressor warranty.,05/27/17,05/27/17
10897,4796,Lifetime Heat Exchanger,05/27/17,05/27/17
10898,4797,Lifetime Heat Exchanger,05/27/17,05/27/17
10954,4823,"12 year heat exchanger 
5 year parts",05/27/17,05/27/17
11078,4563,The previous furnace had a bad heat exchanger which was unavailable - Eastern warrantied a new furnace in place of the old with no warranty. The furnace was free to the customer through Eastern.,05/27/17,05/27/17
11092,3060,"12 year heat exchanger
5 year parts",05/27/17,05/27/17
11109,1448,10 year Compressor 10 year parts,05/27/17,05/27/17
11118,4906,"10 parts, 10 year full furnace replacement warranty, Limited lifetime heat exchanger warranty, 2 year NO LEMON warranty.",05/27/17,05/27/17
11120,4906,"10 year parts, 10 year compressor, 2 year NO LEMON warranty.",05/27/17,05/27/17
11131,4909,Lifetime Compressor,05/27/17,05/27/17
11217,1093,10 yr compressor,05/27/17,05/27/17
